опоч	Опочка
байкальск	байкальский
азовск	азовский
шкодер	шкодерский
осташк	осташковский
поволжск	поволжский
мекс	мексиканский
жиздр	жиздринский
нов.-ирл	новоирландский
афган	афганский
балкано-герм	балкано-германский	
пракритск	пракритский
араб.-тур	арабско-турецко-арабский
каринт	каринтийский
сев.-ит	североитальянский
др.-ирл	древнеирландский
-нж.-нем	нижненемецкий
дидойск	дидойский
балкар	балкарский
лезг	лезгинский
ирл	ирландский
татаро-монг	татро-монгольский
согд	согдийский
олонец	олонецкий
монг	монгольский	
корн	корнский
сев.-великор	северновеликорусский
годск	вологодский	
эст.-шв	эстонско-шведский
ханты-ю	ханты-юганский
фраиц	французский
мадьяр	венгерский
исконнорусск	исконнорусский
камч	камчатский
экавск	икавский
белгородск	белгородский
ср.-нж	средненижненемецкий	
морш	моршанский
др.-брет	древнебретонский
инд	индийский
чакавск	чакавский
полаб	полабский
франко-ит	франко-итальянский
вост.-согд	восточносогдийский
одесск	одесский
келецк	келецк
западноевроп	западноевропейский
алт	алтайский
шор	шорский
восточносиб	восточносибирский
ирк	иркутский
сев.-нем	севернонемецкий
саг	сагайский
колымск	колымский
маньчжур	маньчжурский
русс.-цслав	церковнославянский
нганас	нганасанский
-прусск	прусский	
ром.-слав	романско-славянский
луцк	луцкий
исконнотюрк	исконнотюркский
познанск	познанский
франц	французский
тур.-перс	турецко-персидский
др.-исл	древнеисландский
балто-слав.-герм	балто-славянско-германский
крым-тат	крымско-татарский
араб.-перс	персидско-арабский
аромун	аромунский
урало-алт	урало-алтайский
красноуфимск	красноуфимский
великорусск	великорусский
крит	критский
в-луж	верхнелужицкий
атт	аттический
русско-англ	русско-английский
болгар	болгарский
гнезн	гнезнский
авзонск	авзонский
уральск	уральский
праслав	праславянский
минск	минск
олаб	полабский
пошехонск	пошехонский
семитск	семитский
дравидск	дравидийский
порт	португальский
лангобард	лангобардский
алем	алемандский
др.-вепс	древневепский
мидийск	мидийский	
приамурск	приамурский
печен	печенежский	
др.-фризск	древнефризский
гродн	гродненский
герм.-батав	германско-голландский
тихвинск	тихвинский
тунг	тунгусский
балканогерм	балканогерманский
курземск	курземский
зап.-и.-е	западноиндоевропейский
турфанск	турфанский
черк	черкесский
серболуж	серболужинский
одоевск	одоевский
тамильск	тамильский
лифл	лифляндский
азиатск	азиатский
куманд	кумандинский
тюрк.-булг	тюрко-булгарский
сиб.-тюрк	сибирско-тюркский
еврейск	еврейский
ижорск	ижорский
пров	провансальский
русск.-цслав	церковнославянский
дунайско-болг	дунайско-болгарский
бараб	барабинский
алтайск	алтайский
нов.-лат	новолатинский
-англ	английский
-исл	исландский
днепровск	днепровский
вышневолоцк	вышневолоцкий
прибалт.-словин	прибалтийско-словенский
галло-ром	галло-романский
нов.-исл	новоисландский	
эвенк	эвенкийский
по-греч	греческий
англ	английский
хотансакск	хотаносакский	
кадниковск	кадниковский
нидерл	нидерландский
эвен	эвенскский
франк	франкский
самар	самарский
имер	имерский
мид	мидский
муромск	муромский
ставропольск	ставропольский
юж.-слав	южнославянский
др.-польск	древнепольский
тотемск	тотемский
-цслав	церковнославянский
великорусов	великорусский
мез	Мезень
лат	латинский
ново-перс	новоперсидский
сев.-фриз	севернофризский
заонежск	заонежский
вост.-фриз	восточнофризский
пск	псковский
исконнофин.-уг	финно-угорский
иллир	иллирийский
алб.-тоск	албано-тоскский
горномар	горномарийский
перс.-тур	турецко-персидский
араб.-тюрк	арабско-тюркский
костром	костромской
алан	аланский
булгарск	булгарский
колым	колымский
др.-инд	древне-индийский
варшавск	варшавский
тат.-башк	татско-башкирский
ставроп	ставропольский
ладожск	ладожский
халд	халдейский
маньчжурск	маньчжурский
смолен	смоленский
нов.-перс	новоперсидский
нов.-н.-н	новонижненемецкий
морд	мордовский
гродненск	гродненский
лтш	латышский
прарусск	прарусский
семит	семитский
венетск	венетский
восточнорусск	восточнорусский
зап.-болг	западно-болгарский
прибалт	прибалтийский	
ю.-франц	французский
др.-ир	древнеирландский
визант	византийский
лит	литовский
резьянск	резьянский	
силез	силезский
олонецк	олонецкий
греч.-дор	греческо-дорийский
холмогорск	холмогорский
ср.-инд	среднеиндийский
флам	фламандский
д.-в.-н	древневерхненемецкий
елатьм	елатомский
березовск	березовский
словен	словенский
шток	штокавский
крымск	крымский
бур	бурятский
укр.-польск	украинско-польский
зап.-русск	западнорусский
ольск	польский
элидск	элидский
ст.-лит	старолитовский	
нем	немецкий	
фарерск	фарерский
др.-бав	древнебаварский
дмитровск	дмитровский
монг.-маньчж	монголо-маньчжурский
кельт	кельтский
ярослав	ярославский
валдайск	валдайский
др.-лат	древнелатинский
симбир	симбирский
русск.цслав	церковнославянский
др.-вост.-сканд	скандинавский
мекленб	померанский
ст.-став	ставропольский
баск	баскский
др.-нем	древненемецкий	
стар.-русск	старорусский
балканск.-лат	балканско-латинский
белудж	белуджский
лотарингск	лотарингский
вост.-с.-в.-р	великорусский
др.-корн	древнекорнский
прасканд	праскандинавский
каш	кашинский
энгадинск	энгадинский
русск	русский
ягноб	ягнобский
вят	вятский
ст.-цслав	церковнославянский
южнокит	южнокитайский
ингуш	ингушский
казанско-тат	казанско-татарский
сакск	сакский
волжск	волжский
караимск	караимский
свердловск	свердловский
позднелат	позднелатинский
хорв	хорватский
ломб	ломбардский
кафрск	карачаевский
старославянск	старославянский
полоцк	полоцкий
ион.-атт	греческий аттический
сандхи	сандхи
н.-луж	нижнелужицкий
блр	белорусский
луж	лужицкий
таит	таитянский
коринф	коринфский
ойр	ойротский
терск	терский
гессенск	гессенский
др.-англ	древнеанглийский
церк	церковнославянский
др.-лит	древнелитовский
чудск	чудский
финно-уг	финно-угорский
мезенск	мезенский
фриульск	фриульский
русс	русский
русск.-польск	русско-польский
шведск	шведский
печерск	печерский
зап.-осет	западно-осетинский
курск	курский
барабинск	барабинский	
малайск	малайский
маньчж	маньчжурский
др.-датск	древне-датский
вельотск	вельотский
карп.-укр	карпатско-украинский
арамейск	арамейский
др.-егип	древне-египетский
владим	владимирский
заонеж	заонежский
франц.-ит	французско-итальянский
чердынск	чердынский
индо.-ир	индо-иранский
дунайск	дунайский
петрозав	петрозаводский
тадж	таджикский
бурятск	бурятский
пелымск	пелымский
башкирск	башкирский
вост.-лит	восточно-литовский
прииртышск	прииртышский
венет	венетский	
макарьевск	макарьевский
до-и.-е	доиндоевропейский
кировск	кировский
фрак.-фриг	фракийско-фригийский
чистопольск	чистопольский
тоск	тоскский
барнаульск	барнаульский
кумык	кумыкский
др.-осет	древне-осетинский
умбр	умбрский
кельт.-лат	кельтско-латинский
убых	убыхский
ленингр	ленинградский
исконнопольск	исконнопольский
слав.-ир	славянско-иранский
иркутск	иркутский
ю.-слав	южнославянский
аромунск	арумынский
бав	баварский
яп	японский
др.-шв	древне-шведский
финск	финский
елатемск	елатемский
хивинск	хивинский
др.-в.-н	древневерхненемецкий
торопецк	торопецкий
зап.-герм	западно-германский
самоед	самоедский
ср.-в.-пем	средневерхненемецкий
пудожск	пудожский
нолаб	полабский
шв	шведский	
орхонск	орхонский
др.-вост.-слав	восточнославянский
флам.-нидерл	фламандско-нидерландский
вен	словенский
свирск	свирский
др.-кит	древнекитайский
кавк	кавказский
болг	болгарский
манчж	манчжурский
не-и.-е	неиндоевропейский
слав	славянский
тибет	тибетский
черепов	череповецкий	
касимовск	касимовский
ламут	эвенский язык
аркадск	аркадский
цыг	цыганский
сев.-в.-р	восточнорусский
кипр	кипрский
позднецслав	церковнославянский
нж.-н	нижненемецкий
др.-лтш	древнелатышский	
хетт	хеттский
кромск	кромский
англос	англосаксонский
вологодск	вологодский
сарыкольск	сарыкольский
этрусск	этрусский
сольвычегодск	сольвычегодский
рогачевск	рогачевский
лив	ливонский
ср.-н.-нем	средненижненемецкий
др.-нидерл	древненидерландский
новгор	новгородский
холмог	холмогорский
греко-лат	греко-латинский
булг	булгарский
др.-эст	древне-эстонский
каунасск	каунасский
тохар	тохарский
боснийск	боснийский
хвалынск	хвалынский
нижег	нижегородский
зап.-ср.-нем	западносредненемецкий
греч.-сицилийск	греческо-сицилийский
устюжненск	устюжненский
вятск	вятский
вост.-прусск	восточнопрусский	
ст.слав	старославянский
бессарабск	бессарабский
индо-иран	индо-иранский
уйг	уйгурский
др.-франкск	древне-франкский
кайкавск	кайкавский
лит.-жем	литовский	
хотанск	хотанский
лифляндск	лифляндский
фин.-уг	финно-угорский
др.-герм	древне-германский
шваб.-алем	алеманнский
самарск	самарский
перс	персидский
кемск	кемский
ср.-тюрк	среднетюркский
кашин	Кашин
др.-вост.-тюрк	древневосточнотюркский
младоавест	младоавестийский
сербохорв.-цслав	сербохорвато-церковнославянский
по-тур	турецкий
сагайск	сагайский
тамб	тамбовский
ит.-лат	итальянско-латинский
н.-нем	нижненемецкий
терско-саам	терско-саамский
трубчевск	трубчевский
др.-сербохорв	др.-сербохорватский
оск.-пелигн	оскско-пелигнский
севск	севский
арм	армянский
переясл	переяславский
сев.-в.-русск	восточнорусский
приднепровск	приднепровский
д.-в.-нем	древневерхненемецкий	
тульск	тульский
ср.-в.-нем	средневерхненемецкий
лат.-кельт	латинско-кельтский
хеттск	хеттский
ангарск	ангарский
лат.-герм	латинско-германский
гот.-арианск	готско-арианский
пензенск	пензенский
аркад	аркадский
яросл	ярославский
казах	казахский
вост.-герм	восточногерманский
нагайск	нагайский
удмурт	удмуртский
вост.-монг	восточномонгольский
крито-микен	крито-микенский
арам.-еврейск	арамейско-еврейский
польск.-чеш	польско-чешский
др.русск	древнерусский
турецк	турецкий
полов	половецкий
позднед.-в.-н	восточнонемецкий
черноморск	черноморский
прусск.-нем	прусско-немецкий
повенецк	повенецкий
харьк	харьковский
др.-иранск	древне-иранский
тюм	тюменский
камск	камский
татранск	татранский
гэльск	гэльский
нижегор.-макарьевск	нижегородско-макарьевский
слвц	словацкий
аварск	аварский
видинск	видинский		
ср.-лат	среднелатинский
от.-лат	латинский
нем.-лат	немецко-латинский
костр	костромской
эльзасск	эльзасский
патрасск	патрасский
туркм	туркменский
шкодерск	шкодерский
чагат	чагатайский
селькуп	селькупский
печорск	печорский
бухарск	бухарский
обск	обский
далматинск	далматинский
карел	карельский
лангоб	лангобардский
уйгур	уйгурский
македонскорум	македонско-румынский
приуральск	приуральский
шваб	швабский
гефталитск	эфталитский
мингрельск	мингрельский
ст.-слав	старославянский
новолат	новолатинский	
памирск	памирский
воронежск	воронежский
крым	крымский
кипр.-греч	кипро-греческий
силезск	силезский
шумер	шумерский
казахстанск	казахстанский
галльск	галльский
удм	удмуртский
пракит	пракитайский
олон	олонецкий
каширск	каширский
сабин	сабин
пьемонтск	пьемонтский
морав	моравский
ильменск	ильменский
куршск	куршский
волжско-болг	волжско-болгарский
уфимск	уфимский
тув	тувинский
вед	ведийский
коми-зыр	коми-зырянский
зап.-тунг	западно-тунгусский	
датск	датский
паннонско-мор	паннонско-моравский
башк	башкирский
черниг	черниговский
тер	саамский
южносиб	южносибирский
енисейск	енисейский
ненецк	ненецкий
ст.-ит	итальянский
зап.-лит	литовский
эвенск	эвенский
гуннск	гуннский
прикаспийск	прикаспийский
ст.-польск	старопольский
сард	сардинский
шорск	шорский	
зап.-фин	западно-финский	
иранск	иранский
балт	балтийский
словин	словенский
карельск.-люд	карельский
волжскоболг	волжскоболгарский
цаконск	цаконский
сев.-сиб	северосибирский
белозерск	белозерский
ст.-франц	старофранцузский
забайкальск	забайкальский	
бургунд	бургундский
доиндоевроп	доиндоевропейский
энецк	энецкий
ттингенск	тингенский
ветлужск	ветлужский
сев.-герм	северогерманский
швейцарско-нем	швейцарско-немецкий
дослав	дославянский
тюрк.-болг	тюркско-болгарский
куман	половецкий
неап	неапольский
др.-русс	древне-русский
молд	молдавский
малабарск	малабарск
лангедокск	лангедокский
сев.-тюрк	северно-тюркский
карельск	карельский
пшеворск	пшеворский
балт.-нем	балтийско-немецкий
оренб	оренбургский
волжско-булг	волжско-булгарский
др.-тюрк	древне-тюркский	
средиземноморск	средиземноморский
нивух	нивхский
дунайско-булг	дунайско-булгарский
кызыл	кызылский
карач	карачаевский
черногорск	черногорский
южнорусск	южнорусский
прагерм	прагерманский	
монг.-тюрк	монгольско-тюркский
др.-гутнийск	древне-гутнийский
ср.-перс	персидский
старочешск	старочешский
гот	готский	
оск	оскский
норв.-датск	датско-норвежский
хакасск	хакасский
новосильск	новосильский
вепс	вепский
др.-норв	древне-норвежский
егип	египетский
-лат	латинский
ряз	рязанский
сев.-кит	севернокитайский
гаэльск	гаэльский
-луж	лужицкий
сицилийск	сицилийский
эпидаврск	эпидаврский
бълг	болгарский
с.-в.-р	восточнорусский
зап.-мар	западно-марийский
секейск	секейский
ятвяжск	ятвяжский
влад	владимирский
кашуб	кашубский
энец	энецкий
волжскобулг	волжскобулгарский
сабинско-лат	сабинско-латинский
обдорск	обдорский
пелигн	пелигнский
чеш	чешский
фрак.-иллир	фракийско-иллирийский
пинежск	пинежский
шугнанск	шугнанский
вытегорск	вытегорский
ранне-н.-в.-н	нижневерхненемецкий
ст.-укр	староукраинский
центральноазиатск	центральноазиатский
ламутск	ламутский
венг	венгерский
петерб	петербургский
мурманск	мурманский
д.-нж.-н	нижненемецкий
средневолжск	средневолжский	
н-луж	нижнелужицкий
ободритск	ободритский
бав.-австр	баварско-австрийский
сицил	сицилийский
уржумск	уржумский
вытегр	вытегрский
гег	гегский
памир	памирский
